subcommittee	code	docx	xlsx	row	change	rank	taxon	level	error	message	notes	scAbbrev	docpath	path	file	basename
Bacterial viruses (B) proposals	2023.002B	2023.002B.N.v1.Actinobacteriophage_Database_Cluster_FE_1nsf_5ng.docx	2023.002B.N.v1.Actinobacteriophage_Database_Cluster_FE_1nsf_5ng.xlsx	16	Create new	species	Whytuvirus yavru	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Whytuvirus;Whytuvirus yavru'	NA	NA	NA	NA	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.002D	2023.002D.N.v1.Circoviridae_3nsp.docx	2023.002D.N.v1.Circoviridae_3nsp.xlsx	5	Create new	species	Circovirus kukwuria	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Circovirus;Circovirus kukwuria'	NA	NA	NA	NA	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.002D	2023.002D.N.v1.Circoviridae_3nsp.docx	2023.002D.N.v1.Circoviridae_3nsp.xlsx	6	Create new	species	Circovirus ban	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Circovirus;Circovirus ban'	NA	NA	NA	NA	NA
Animal DNA viruses and Retroviruses (D) proposals	2023.002D	2023.002D.N.v1.Circoviridae_3nsp.docx	2023.002D.N.v1.Circoviridae_3nsp.xlsx	7	Create new	species	Circovirus human	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae;Circovirus;Circovirus human'	NA	NA	NA	NA	NA
Fungal and protist virus (F) proposals	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	5	Rename	species	Trichomonas vaginalis virus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Trichomonas vaginalis virus 1' to 'Trichomonasvirus vagiprimus' in 'Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Trichomonasvirus;Trichomonasvirus vagiprimus'	NA	NA	NA	NA	NA
Fungal and protist virus (F) proposals	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	6	Rename	species	Trichomonas vaginalis virus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Trichomonas vaginalis virus 2' to 'Trichomonasvirus vagisecundus' in 'Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Trichomonasvirus;Trichomonasvirus vagisecundus'	NA	NA	NA	NA	NA
Fungal and protist virus (F) proposals	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	7	Rename	species	Trichomonas vaginalis virus 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Trichomonas vaginalis virus 3' to 'Trichomonasvirus vagitertius' in 'Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Trichomonasvirus;Trichomonasvirus vagitertius'	NA	NA	NA	NA	NA
Fungal and protist virus (F) proposals	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	8	Rename	species	Trichomonas vaginalis virus 4	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Trichomonas vaginalis virus 4' to 'Trichomonasvirus vagiquartus' in 'Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Trichomonasvirus;Trichomonasvirus vagiquartus'	NA	NA	NA	NA	NA
Fungal and protist virus (F) proposals	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	9	Create new	species	Trichomonasvirus vagiquintus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Duplornaviricota;Chrymotiviricetes;Ghabrivirales;Totiviridae;Trichomonasvirus;Trichomonasvirus vagiquintus'	NA	NA	NA	NA	NA
NA	2023.002F	2023.002F.v1.Trichomonasvirus_1nsp_spren.docx	NA	NA	NA	NA	NA	WARNING	DOCX.BAD_FILENAME_FORMAT	Should be '####[A-Z].###[A-Z].[A-Z]+.v#.____.docx'	####[A-Z]=year/study_section, ###[A-Z]=index/type, [A-Z]+=status, v#=version	2023.002F	NA	NA	NA	NA
NA	2023.002F	NA	2023.002F.v1.Trichomonasvirus_1nsp_spren.xlsx	NA	NA	NA	NA	WARNING	XLSX.BAD_FILENAME_FORMAT	Should be '####[A-Z].###[A-Z].[A-Z]+.v#.____.xlsx'	####[A-Z]=year/study_section, ###[A-Z]=index/type, [A-Z]+=status, v#=version	2023.002F	NA	NA	NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.002M	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.docx	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.xlsx	5	Create new	genus	Uniorhavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Uniorhavirus'	NA	NA	NA	NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.002M	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.docx	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.xlsx	6	Create new	species	Uniorhavirus killamcar	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Uniorhavirus;Uniorhavirus killamcar'	NA	NA	NA	NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.002M	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.docx	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.xlsx	7	Create new	genus	Margarhavirus	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create genus of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Margarhavirus'	NA	NA	NA	NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.002M	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.docx	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.xlsx	8	Create new	species	Margarhavirus chemarfal	WARNING	CREATE.PARENT_LINEAGE	Change=NEW, proposed parent taxon exists, but not with expected lineage, using observed lineage	proposedVsObserved=Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;[Gammarhabdovirinae//Alpharhabdovirinae];Margarhavirus, proposedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Gammarhabdovirinae;Margarhavirus, observedParentLineage=Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Alpharhabdovirinae;Margarhavirus, otherProposals=2023.002M:7	NA	NA	NA	NA	NA
Animal dsRNA and -ssRNA (M) proposals	2023.002M	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.docx	2023.002M.N.v1.Alpharhabdovirinae_2ngen_2nsp.xlsx	8	Create new	species	Margarhavirus chemarfal	SUCCESS	CREATE.OK	Change=NEW, applied successfully	Create species of 'Riboviria;Orthornavirae;Negarnaviricota;Haploviricotina;Monjiviricetes;Mononegavirales;Rhabdoviridae;Gammarhabdovirinae;Margarhavirus'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	5	Rename	species	Agaricus bisporus alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Agaricus bisporus alphaendornavirus 1' to 'Alphaendornavirus agarici' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus agarici'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	6	Rename	species	Basella alba alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Basella alba alphaendornavirus 1' to 'Alphaendornavirus basellae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus basellae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	7	Rename	species	Bell pepper alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Bell pepper alphaendornavirus' to 'Alphaendornavirus capsici' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus capsici'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	8	Rename	species	Cluster bean alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cluster bean alphaendornavirus 1' to 'Alphaendornavirus cyamopsis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus cyamopsis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	9	Rename	species	Cucumis melo alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Cucumis melo alphaendornavirus' to 'Alphaendornavirus cucumis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus cucumis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	10	Rename	species	Erysiphe cichoracearum alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Erysiphe cichoracearum alphaendornavirus' to 'Alphaendornavirus erysiphes' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus erysiphes'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	11	Rename	species	Grapevine endophyte alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Grapevine endophyte alphaendornavirus' to 'Alphaendornavirus vitis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus vitis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	12	Rename	species	Helianthus annuus alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Helianthus annuus alphaendornavirus' to 'Alphaendornavirus helianthi' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus helianthi'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	13	Rename	species	Helicobasidium mompa alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Helicobasidium mompa alphaendornavirus 1' to 'Alphaendornavirus helicobasidii' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus helicobasidii'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	14	Rename	species	Hordeum vulgare alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hordeum vulgare alphaendornavirus' to 'Alphaendornavirus hordei' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus hordei'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	15	Rename	species	Hot pepper alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Hot pepper alphaendornavirus' to 'Alphaendornavirus fucapsici' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus fucapsici'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	16	Rename	species	Lagenaria siceraria alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Lagenaria siceraria alphaendornavirus' to 'Alphaendornavirus lagenariae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus lagenariae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	17	Rename	species	Oryza rufipogon alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Oryza rufipogon alphaendornavirus' to 'Alphaendornavirus rupifigonis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus rupifigonis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	18	Rename	species	Oryza sativa alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Oryza sativa alphaendornavirus' to 'Alphaendornavirus oryzae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus oryzae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	19	Rename	species	Persea americana alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Persea americana alphaendornavirus 1' to 'Alphaendornavirus perseae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus perseae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	20	Rename	species	Phaseolus vulgaris alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Phaseolus vulgaris alphaendornavirus 1' to 'Alphaendornavirus phaseoli' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus phaseoli'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	21	Rename	species	Phaseolus vulgaris alphaendornavirus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Phaseolus vulgaris alphaendornavirus 2' to 'Alphaendornavirus fuphaseoli' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus fuphaseoli'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	22	Rename	species	Phaseolus vulgaris alphaendornavirus 3	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Phaseolus vulgaris alphaendornavirus 3' to 'Alphaendornavirus miphaseoli' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus miphaseoli'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	23	Rename	species	Phytophthora alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Phytophthora alphaendornavirus 1' to 'Alphaendornavirus phytophthorae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus phytophthorae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	24	Rename	species	Rhizoctonia cerealis alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Rhizoctonia cerealis alphaendornavirus 1' to 'Alphaendornavirus rhizocerealis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus rhizocerealis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	25	Rename	species	Rhizoctonia solani alphaendornavirus 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Rhizoctonia solani alphaendornavirus 2' to 'Alphaendornavirus rhizosolani' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus rhizosolani'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	26	Rename	species	Vicia faba alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Vicia faba alphaendornavirus' to 'Alphaendornavirus viciae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus viciae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	27	Rename	species	Winged bean alphaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Winged bean alphaendornavirus 1' to 'Alphaendornavirus psophocarpi' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus psophocarpi'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	28	Rename	species	Yerba mate alphaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Yerba mate alphaendornavirus' to 'Alphaendornavirus yerbae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Alphaendornavirus;Alphaendornavirus yerbae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	29	Rename	species	Alternaria brassicicola betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Alternaria brassicicola betaendornavirus 1' to 'Betaendornavirus alternariae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus alternariae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	30	Rename	species	Botrytis cinerea betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Botrytis cinerea betaendornavirus 1' to 'Betaendornavirus botrytidis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus botrytidis'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	31	Rename	species	Gremmeniella abietina betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Gremmeniella abietina betaendornavirus 1' to 'Betaendornavirus gremmeniellae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus gremmeniellae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	32	Rename	species	Rosellinia necatrix betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Rosellinia necatrix betaendornavirus 1' to 'Betaendornavirus roselliniae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus roselliniae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	33	Rename	species	Sclerotinia minor betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Sclerotinia minor betaendornavirus 1' to 'Betaendornavirus fusclerotiniae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus fusclerotiniae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	34	Rename	species	Sclerotinia sclerotiorum betaendornavirus 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Sclerotinia sclerotiorum betaendornavirus 1' to 'Betaendornavirus sclerotiniae' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus sclerotiniae'	NA	NA	NA	NA	NA
Plant virus (P) proposals	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	2023.002P.N.v1.Endornaviridae_rename_sp.xlsx	35	Rename	species	Tuber aestivum betaendornavirus	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Tuber aestivum betaendornavirus' to 'Betaendornavirus tuberis' in 'Riboviria;Orthornavirae;Kitrinoviricota;Alsuviricetes;Martellivirales;Endornaviridae;Betaendornavirus;Betaendornavirus tuberis'	NA	NA	NA	NA	NA
NA	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	NA	NA	NA	NA	NA	WARNING	DOCX_FILENAME_SPACES	filename contains a space: please replace with _ or -	2023.002P.N.v1.[ ]Endornaviridae_rename_sp.docx	2023.002P	NA	NA	NA	NA
NA	2023.002P	2023.002P.N.v1. Endornaviridae_rename_sp.docx	NA	NA	NA	NA	NA	WARNING	DOCX.BAD_FILENAME_FORMAT	Should be '####[A-Z].###[A-Z].[A-Z]+.v#.____.docx'	####[A-Z]=year/study_section, ###[A-Z]=index/type, [A-Z]+=status, v#=version	2023.002P	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.002S	2023.002S.N.v1.Arteriviridae_7sprenamed.docx	2023.002S.N.v1.Arteriviridae_7sprenamed.xlsx	5	Rename	species	Betaarterivirus suid 2	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Betaarterivirus suid 2' to 'Betaarterivirus americensis' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Arnidovirineae;Arteriviridae;Variarterivirinae;Betaarterivirus;Ampobartevirus;Betaarterivirus americensis'	NA	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.002S	2023.002S.N.v1.Arteriviridae_7sprenamed.docx	2023.002S.N.v1.Arteriviridae_7sprenamed.xlsx	6	Rename	species	Betaarterivirus chinrav 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Betaarterivirus chinrav 1' to 'Betaarterivirus chinrav' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Arnidovirineae;Arteriviridae;Variarterivirinae;Betaarterivirus;Chibartevirus;Betaarterivirus chinrav'	NA	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.002S	2023.002S.N.v1.Arteriviridae_7sprenamed.docx	2023.002S.N.v1.Arteriviridae_7sprenamed.xlsx	7	Rename	species	Betaarterivirus suid 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Betaarterivirus suid 1' to 'Betaarterivirus europensis' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Arnidovirineae;Arteriviridae;Variarterivirinae;Betaarterivirus;Eurpobartevirus;Betaarterivirus europensis'	NA	NA	NA	NA	NA
Animal +ssRNA (S) proposals	2023.002S	2023.002S.N.v1.Arteriviridae_7sprenamed.docx	2023.002S.N.v1.Arteriviridae_7sprenamed.xlsx	8	Rename	species	Etaarterivirus ugarco 1	SUCCESS	RENAME.OK	Change=RENAME, applied successfully	RENAME species from 'Etaarterivirus ugarco 1' to 'Etaarterivirus ugarco' in 'Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Arnidovirineae;Arteriviridae;Simarterivirinae;Etaarterivirus;Etaarterivirus ugarco'	NA	NA	NA	NA	NA
